,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_range,time_signature,track_href,type,uri,valence
35,0.00632,https://api.spotify.com/v1/audio-analysis/2NjO87HyT80fsgejd3PLYW,0.736,231847.0,0.756,2NjO87HyT80fsgejd3PLYW,0.00577,11.0,0.106,-7.099,1.0,0.047,117.016,long_term,4.0,https://api.spotify.com/v1/tracks/2NjO87HyT80fsgejd3PLYW,audio_features,spotify:track:2NjO87HyT80fsgejd3PLYW,0.712
36,0.291,https://api.spotify.com/v1/audio-analysis/5NYzvVxuyXiHSqn7PojgKC,0.685,152927.0,0.494,5NYzvVxuyXiHSqn7PojgKC,2.4e-06,6.0,0.0581,-10.431,0.0,0.143,153.986,long_term,4.0,https://api.spotify.com/v1/tracks/5NYzvVxuyXiHSqn7PojgKC,audio_features,spotify:track:5NYzvVxuyXiHSqn7PojgKC,0.445
37,0.101,https://api.spotify.com/v1/audio-analysis/5uCCGvGyA32KBvf4zj7sd5,0.776,238855.0,0.64,5uCCGvGyA32KBvf4zj7sd5,0.00899,1.0,0.0774,-7.733,1.0,0.0349,139.981,long_term,4.0,https://api.spotify.com/v1/tracks/5uCCGvGyA32KBvf4zj7sd5,audio_features,spotify:track:5uCCGvGyA32KBvf4zj7sd5,0.704
38,0.0169,https://api.spotify.com/v1/audio-analysis/4OuuTwky6Lupc7zDJNtig6,0.807,308929.0,0.425,4OuuTwky6Lupc7zDJNtig6,0.891,7.0,0.0614,-8.452,1.0,0.0656,125.987,long_term,4.0,https://api.spotify.com/v1/tracks/4OuuTwky6Lupc7zDJNtig6,audio_features,spotify:track:4OuuTwky6Lupc7zDJNtig6,0.66
39,0.409,https://api.spotify.com/v1/audio-analysis/31TADh49q4s4jm6lGDeIrd,0.793,293387.0,0.261,31TADh49q4s4jm6lGDeIrd,0.0025,5.0,0.0779,-13.882,1.0,0.0322,82.016,long_term,4.0,https://api.spotify.com/v1/tracks/31TADh49q4s4jm6lGDeIrd,audio_features,spotify:track:31TADh49q4s4jm6lGDeIrd,0.464
40,0.373,https://api.spotify.com/v1/audio-analysis/4SHR8Udn1oQ95yvXRZU1I8,0.792,376640.0,0.51,4SHR8Udn1oQ95yvXRZU1I8,0.012,6.0,0.0319,-10.649,1.0,0.0402,98.864,long_term,4.0,https://api.spotify.com/v1/tracks/4SHR8Udn1oQ95yvXRZU1I8,audio_features,spotify:track:4SHR8Udn1oQ95yvXRZU1I8,0.84
41,0.661,https://api.spotify.com/v1/audio-analysis/4Z4i631BesV0P6LTvfLAdL,0.741,417100.0,0.619,4Z4i631BesV0P6LTvfLAdL,0.674,1.0,0.125,-11.366,0.0,0.0514,126.008,long_term,4.0,https://api.spotify.com/v1/tracks/4Z4i631BesV0P6LTvfLAdL,audio_features,spotify:track:4Z4i631BesV0P6LTvfLAdL,0.146
42,0.841,https://api.spotify.com/v1/audio-analysis/0pdKRp2sUthTPe7RLWpPqQ,0.713,218883.0,0.452,0pdKRp2sUthTPe7RLWpPqQ,0.0038,1.0,0.105,-9.638,1.0,0.0295,102.963,long_term,4.0,https://api.spotify.com/v1/tracks/0pdKRp2sUthTPe7RLWpPqQ,audio_features,spotify:track:0pdKRp2sUthTPe7RLWpPqQ,0.235
43,0.638,https://api.spotify.com/v1/audio-analysis/2L7EDE9GiSL5GTF3Lhx9U6,0.803,200358.0,0.513,2L7EDE9GiSL5GTF3Lhx9U6,0.25,5.0,0.109,-10.776,0.0,0.0514,110.024,long_term,4.0,https://api.spotify.com/v1/tracks/2L7EDE9GiSL5GTF3Lhx9U6,audio_features,spotify:track:2L7EDE9GiSL5GTF3Lhx9U6,0.758
44,0.15,https://api.spotify.com/v1/audio-analysis/5gf6B78U9yT5inZsJidlVO,0.858,366890.0,0.492,5gf6B78U9yT5inZsJidlVO,0.881,8.0,0.0922,-6.626,1.0,0.0397,95.004,long_term,4.0,https://api.spotify.com/v1/tracks/5gf6B78U9yT5inZsJidlVO,audio_features,spotify:track:5gf6B78U9yT5inZsJidlVO,0.516
