,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_range,time_signature,track_href,type,uri,valence
45,0.75,https://api.spotify.com/v1/audio-analysis/4S6PolgPZ5OLph314ww8Fg,0.606,221804.0,0.589,4S6PolgPZ5OLph314ww8Fg,0.0102,7.0,0.0922,-7.194,0.0,0.0456,174.285,long_term,4.0,https://api.spotify.com/v1/tracks/4S6PolgPZ5OLph314ww8Fg,audio_features,spotify:track:4S6PolgPZ5OLph314ww8Fg,0.889
46,0.192,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,0.695,215280.0,0.762,21jGcNKet2qwijlDFuPiPb,0.00244,0.0,0.0863,-3.497,1.0,0.0395,120.042,long_term,4.0,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,audio_features,spotify:track:21jGcNKet2qwijlDFuPiPb,0.553
47,0.34,https://api.spotify.com/v1/audio-analysis/01D7nX5t321cgGgehXH0MU,0.779,197560.0,0.621,01D7nX5t321cgGgehXH0MU,0.0103,11.0,0.0747,-9.839,0.0,0.084,91.959,long_term,4.0,https://api.spotify.com/v1/tracks/01D7nX5t321cgGgehXH0MU,audio_features,spotify:track:01D7nX5t321cgGgehXH0MU,0.529
48,0.0644,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,0.828,257800.0,0.492,0ofHAoxe9vBkTCp2UQIavz,0.00428,0.0,0.128,-9.744,1.0,0.0276,120.151,long_term,4.0,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,audio_features,spotify:track:0ofHAoxe9vBkTCp2UQIavz,0.789
49,0.145,https://api.spotify.com/v1/audio-analysis/4DAaQ5InUO23d8yNRbB0Yj,0.714,206073.0,0.663,4DAaQ5InUO23d8yNRbB0Yj,0.0,8.0,0.264,-5.799,1.0,0.0694,95.497,long_term,4.0,https://api.spotify.com/v1/tracks/4DAaQ5InUO23d8yNRbB0Yj,audio_features,spotify:track:4DAaQ5InUO23d8yNRbB0Yj,0.64
50,0.316,https://api.spotify.com/v1/audio-analysis/0rufHvzVQmCDpjf3qWLtC3,0.689,245585.0,0.425,0rufHvzVQmCDpjf3qWLtC3,0.0,8.0,0.122,-7.23,1.0,0.314,93.95,medium_term,4.0,https://api.spotify.com/v1/tracks/0rufHvzVQmCDpjf3qWLtC3,audio_features,spotify:track:0rufHvzVQmCDpjf3qWLtC3,0.371
51,0.151,https://api.spotify.com/v1/audio-analysis/7fH9ZS8gezOtky5bkYHvCN,0.437,265733.0,0.586,7fH9ZS8gezOtky5bkYHvCN,3.13e-06,4.0,0.0996,-6.708,1.0,0.0274,150.14,medium_term,4.0,https://api.spotify.com/v1/tracks/7fH9ZS8gezOtky5bkYHvCN,audio_features,spotify:track:7fH9ZS8gezOtky5bkYHvCN,0.252
52,0.0603,https://api.spotify.com/v1/audio-analysis/6UjBPdD3La0j1JTaT7R6fK,0.822,221709.0,0.696,6UjBPdD3La0j1JTaT7R6fK,0.000144,0.0,0.0717,-8.468,1.0,0.0474,117.049,medium_term,4.0,https://api.spotify.com/v1/tracks/6UjBPdD3La0j1JTaT7R6fK,audio_features,spotify:track:6UjBPdD3La0j1JTaT7R6fK,0.856
53,0.168,https://api.spotify.com/v1/audio-analysis/3AQLL3Waks6LJ9FI8TFHGA,0.686,243147.0,0.735,3AQLL3Waks6LJ9FI8TFHGA,8.88e-05,8.0,0.44,-7.063,1.0,0.0332,110.577,medium_term,4.0,https://api.spotify.com/v1/tracks/3AQLL3Waks6LJ9FI8TFHGA,audio_features,spotify:track:3AQLL3Waks6LJ9FI8TFHGA,0.483
54,0.139,https://api.spotify.com/v1/audio-analysis/5WxzuqQCeCsFlUEStzTp3K,0.825,195187.0,0.761,5WxzuqQCeCsFlUEStzTp3K,0.0,1.0,0.157,-6.591,1.0,0.189,88.994,medium_term,4.0,https://api.spotify.com/v1/tracks/5WxzuqQCeCsFlUEStzTp3K,audio_features,spotify:track:5WxzuqQCeCsFlUEStzTp3K,0.875
